TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
BRIM11;270,98;48,330000;0,00;62,79;4,38;21.631,74;156,67;;;7.794.926,79;707,00;;124.137,00
BRIP11;382,16;11,770000;11,51;557,11;0,69;12.729,10;4,10;;-2,73;120.043.154,87;440,00;;215.475,00
BTWR11;105,49;0,600000;7,55;118,74;0,89;105,00;0,55;5,08;5,80;96.096.199,59;141,00;;809.269,00
CFHI11;20,10;10,620000;308,56;26,58;0,76;40,00;154,38;;;2.514.034,94;96,00;;94.600,00
DMAC11;13,00;4,894618;0,00;63,81;0,20;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
DVLT11;99,58;;0,00;104,57;1,00;0,00;7,89;;;32.469.600,92;208,00;;310.503,00
EGYR11;2,98;;0,00;148,50;0,02;423,00;0,00;;-42,77;113.212.251,70;89,00;;762.353,00
FLFL11;0,00;0,180000;0,00;137,64;;;0,84;;;475.443.929,58;1,00;;3.454.262,00
HCST11;45,00;;0,00;60,03;0,75;225,00;0,02;;;52.277.034,18;55,00;;870.918,00
HDOF11;90,00;;0,00;93,20;0,96;339.465,43;0,13;;;314.099.604,35;120,00;;3.370.000,00
HOMS11;122,88;;0,00;89,70;1,37;30.964,89;1,43;;;47.009.190,44;3.849,00;;524.081,00
HRDF11;3,47;6,800000;0,00;8,70;0,40;626,29;10,49;;-8,97;13.205.037,58;855,00;;1.517.425,00
INRD11;77,00;0,670000;9,80;119,10;0,66;36.878,74;1,41;4,15;12,13;134.595.711,36;6.183,00;;1.130.086,00
JPPC11;11.251,61;0,350000;0,26;61,16;183,97;8.342.197.891,30;101,26;;;3.363.854,71;492,00;;55.000,00
JTPR11;2.517,00;1,630372;0,00;64,42;39,02;;25,47;;;13.830.087,06;7,00;;214.674,00
KEVE11;615,00;19,634261;22,31;402,50;1,56;5.185,94;33,70;;5,27;59.450.216,25;433,00;;147.700,00
KINP11;10,00;3,053493;0,00;63,81;0,16;0,00;3,50;;6,41;118.155.565,38;8.102,00;;1.851.786,00
KNRE11;0,34;0,001240;1,70;0,63;0,54;2.217,57;33,63;;31,36;11.735.257,45;5.599,00;;18.547.161,00
LATR11B;774,06;9,998500;0,00;63,81;12,13;0,00;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
LOFT11B;29,90;0,201705;0,00;0,12;249,17;;131,97;;;238.995,20;1,00;;1.962.500,00
LRED11;12,35;;0,00;11,00;1,11;111,00;5,42;;;15.489.545,58;110,00;;1.408.780,00
MADS11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
MFII11;77,05;1,050000;16,79;98,51;0,78;1.799.181,83;0,71;-0,48;7,65;669.885.651,00;32.496,00;;6.800.000,00
MGIM11;101,50;0,176173;0,00;63,81;1,59;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
MGLC11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
NVIF11;227,50;0,889152;3,52;333,41;0,68;;3,85;23,13;;112.493.646,48;7,00;;337.400,00
ORPD11;93,00;1,379310;0,00;140,85;0,66;;0,00;;;40.847.491,62;6,00;;290.000,00
PABY11;15,50;;0,00;-33,00;;527,09;;;3,75;-25.024.946,52;495,00;;758.400,00
PATC11;39,78;0,050000;2,58;34,30;1,15;60.484,39;0,69;-48,87;10,99;119.269.229,13;4.689,00;;3.477.434,00
PNDL11;1.200,00;3,410000;0,00;1.004,78;1,19;38.680.800,00;6,40;;;145.021.247,08;50,00;;144.332,00
PNPR11;48,00;1,230000;0,00;36,41;1,32;5.000.064,00;7,53;;;32.692.830,57;16,00;;897.816,00
PRSN11B;0,20;0,081427;40,71;2,62;0,08;0,00;45,90;;-53,58;8.454.733,38;496,00;;3.231.246,00
RBBV11;100,00;0,224057;0,00;63,81;1,57;;3,50;75,40;;118.155.565,38;8.102,00;;1.851.786,00
RBDS11;2,39;2,354143;0,00;18,88;0,12;265,38;16,02;18,99;-11,21;2.388.743,13;811,00;;126.523,00
RBIR11;91,00;0,817734;14,47;89,64;1,02;222.723,78;1,75;;28,51;137.022.258,20;1.544,00;;1.528.615,00
RBRI11;650,00;13,000000;32,69;486,24;1,28;452.588,20;1,53;;;67.910.754,48;133,00;;139.665,00
RBRM11;94.794,81;2.002,089652;0,00;5.301,98;17,88;;100,00;;;2.860.101,93;54,00;Ativa;539,00
RBRS11;35,00;0,110000;7,64;95,72;0,35;25.863,89;4,01;-22,28;-11,45;73.177.011,37;908,00;;764.452,00
RBTS11;295,00;7,341884;4,59;280,06;1,05;1.327,40;19,72;;;15.830.154,63;127,00;;56.525,00
RCFA11;0,92;;0,00;18,41;0,05;102,00;0,00;;-30,50;10.751.796,15;279,00;;583.926,00
ROOF11;350,00;41,715400;0,00;299,13;1,17;350,00;3,62;;;23.180.810,88;80,00;;77.495,00
RSPD11;799,88;3,019911;14,41;882,91;0,91;257.105,77;9,35;;;131.562.647,26;174,00;;149.011,00
SLDZ11;0,00;;0,00;-85,58;;;;;;-430.039,32;2,00;Ativa;5.025,00
SNEL11;8,57;0,100000;15,15;8,22;1,04;2.834.961,96;6,90;;;909.373.685,25;63.023,00;;110.677.627,00
STRX11;140,16;0,820000;7,71;152,87;0,92;0,00;1,04;4,70;;246.656.783,11;111,00;;1.613.559,00
TELD11;0,00;;0,00;24,24;;;17,05;;;11.387.130,96;2,00;;469.760,00
TGAR11;80,19;0,710000;14,63;113,46;0,71;11.857.797,30;0,97;-10,82;0,68;2.674.085.772,83;151.072,00;;23.567.968,00
TORM13;142,00;10,562960;0,00;63,81;2,23;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TOUR11;8,80;0,242328;0,00;63,81;0,14;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
TRXB11;175,00;3,000000;15,36;101,51;1,77;5.904.038,35;2,15;27,12;32,56;380.245.915,90;604,00;;3.746.020,00
VIDS11;915,64;16,058793;11,90;798,22;1,15;0,00;10,35;;;75.513.802,97;199,00;;94.603,00
VXXV11;728,00;93,020000;0,00;516,23;1,41;1.465.687,75;0,13;;;246.695.794,24;11,00;;477.875,00
YUFI11;15,00;0,171599;4,61;45,55;0,33;15,00;3,87;;;22.442.663,70;57,00;;492.650,00
ZIFI11;900,00;3,304958;0,00;1.757,66;0,51;1.289,80;0,00;;-3,45;83.462.409,14;88,00;;47.485,00
