TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ALZM11;6,32;0,080000;0,00;7,46;0,85;0,00;3,80;-6,90;-7,48;113.203.496,22;12.195,00;Ativa;15.180.540,00
AQLL11;385,03;;0,00;793,06;0,49;;0,26;;;115.642.747,98;83,00;;145.817,00
BBFO11;67,98;0,870000;12,96;77,83;0,87;429.676,00;4,12;3,22;13,41;311.613.842,15;7.187,00;;4.003.900,00
BCFF11;7,28;0,070000;0,00;8,76;0,83;0,00;6,73;1,07;-0,72;1.766.025.679,12;351.688,00;Ativa;201.491.024,00
BCIA11;95,76;0,860000;10,61;104,90;0,91;644.260,90;0,06;1,07;16,15;390.115.306,41;20.383,00;;3.719.038,00
BICE11;888,00;2,810000;5,79;1.110,66;0,80;444,00;1,89;-21,16;6,19;148.177.316,61;119,00;;133.414,00
BLMR11;6,78;0,053000;0,00;63,81;0,11;;3,50;;2,97;118.155.565,38;8.102,00;;1.851.786,00
BPFF11;54,53;0,670000;9,77;62,15;0,88;512.062,00;4,94;1,28;4,84;279.190.787,97;20.101,00;;4.492.326,00
CLIN11;92,56;0,880000;13,23;98,20;0,94;1.133.935,95;9,71;;;426.871.489,60;10.063,00;;4.346.763,00
CPFF11;69,90;0,500000;0,00;62,49;1,12;0,00;8,22;-0,91;13,82;67.464.811,29;6.536,00;Ativa;1.079.696,00
CPFO11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CPHH11;0,00;;0,00;73,46;;;30,00;;;108.236.367,68;420,00;;1.473.378,00
CRFF11;76,50;0,630000;10,42;87,15;0,88;19.947,95;5,41;-0,63;16,10;60.138.241,01;1.179,00;;690.040,00
CXRI11;66,89;0,620000;11,53;87,22;0,77;23.919,05;8,22;0,91;11,95;137.430.479,15;1.757,00;;1.575.760,00
DVFF11;5,89;0,065000;13,24;8,83;0,67;113.357,40;3,90;-4,52;5,33;97.225.019,73;2.046,00;;11.009.500,00
FLNR11;1.273,88;;0,00;1.216,55;1,05;0,00;0,12;;;154.726.149,62;125,00;;127.184,00
FOFT11;123,00;1,900000;0,00;7,00;17,57;;2,33;-47,71;;250.509.603,82;11.454,00;Ativa;35.769.919,00
GCFF11;69,30;0,750000;0,00;63,81;1,09;;3,50;;0,20;118.155.565,38;8.102,00;;1.851.786,00
HFOF11;6,84;0,060000;9,88;7,96;0,86;2.991.667,25;1,41;-3,66;12,61;1.797.051.961,82;96.722,00;;225.785.000,00
HGFF11;62,38;1,990000;10,82;71,18;0,88;1.552.502,00;18,73;8,82;6,09;203.824.815,19;14.789,00;;2.863.597,00
IBFF11;66,40;0,296485;0,00;63,81;1,04;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
ITIT11;72,90;0,610000;10,15;81,37;0,90;102.876,95;1,39;0,87;8,60;73.276.908,35;9.362,00;;900.494,00
JCIN11;148,90;0,265611;3,62;181,65;0,82;9.973.769,00;0,21;;;239.367.985,58;3,00;;1.317.717,00
JSAF11;8,03;0,080000;12,96;9,44;0,85;1.815.926,90;9,77;-3,29;14,07;731.999.476,13;24.632,00;;77.523.290,00
KFOF11;84,83;0,800000;10,96;94,13;0,90;1.608.973,15;11,34;-1,29;15,09;660.287.769,63;30.314,00;;7.014.565,00
KISU11;7,01;0,070000;11,98;8,43;0,83;657.335,10;3,00;-1,72;6,09;372.595.623,95;102.782,00;;44.196.050,00
