TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
AURB11;81,00;0,450000;2,98;81,05;1,00;333.328,50;8,53;;;88.000.869,64;20,00;;1.085.780,00
EGDB11;1.200,26;;0,00;972,83;1,23;38.332,48;0,19;;;96.198.960,89;2.584,00;;98.886,00
FIIC11;0,00;;0,00;-0,70;;;;;;-4.029,68;1,00;;5.738,00
IDUA11;64,42;0,544173;14,07;60,39;1,07;0,00;23,80;;;24.294.417,00;1,00;;402.311,00
JASC11;100,00;0,700000;8,02;114,41;0,87;2.397,55;2,87;10,09;5,94;440.614.271,46;168,00;;3.851.187,00
JCDB11;0,00;;0,00;241,16;;;0,45;;;251.520.591,28;58,00;;1.042.957,00
LIFE11;8,90;0,120000;16,46;9,98;0,87;1.017.793,43;9,27;-3,09;9,69;396.710.585,75;19.601,00;;39.761.584,00
MOSO11;0,00;;0,00;;;;;;;;;;0,00
QTZD11;0,00;;0,00;8,74;;;8,20;;;5.097.166,73;31,00;;583.340,00
SOLR11;1.051,35;4,770765;0,00;919,68;1,14;0,00;0,52;;;60.270.034,50;1,00;;65.533,00
TOPP11;74,62;0,840000;13,42;106,09;0,71;931.909,09;0,99;;;480.413.559,87;4.715,00;;4.528.240,00
TRXF11;93,25;0,930000;12,71;103,01;0,90;23.028.275,17;10,05;1,18;7,36;3.347.054.221,02;217.198,00;;32.493.284,00
