TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ARFI11B;479,99;;0,00;63,81;7,52;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
AROA11;1,12;0,007300;8,73;0,95;1,17;4.994,78;2,37;17,76;;159.780.518,57;5.286,00;;167.926.832,00
BLCP11;91,00;0,563428;0,00;63,81;1,43;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
BLMG11;34,90;0,400000;12,63;48,85;0,71;194.344,04;1,75;-20,71;-8,78;228.329.780,84;13.051,00;;4.674.548,00
BPRP11;107,50;0,925000;0,00;125,57;0,86;2.150,00;0,19;2,64;;169.496.975,27;171,00;Passiva;1.349.837,00
BRCO11;118,55;0,870000;8,98;116,40;1,02;4.484.033,48;1,83;2,61;18,07;2.097.601.850,11;124.852,00;;18.021.303,00
BTAL11;89,85;0,950000;12,14;116,16;0,77;755.723,61;19,90;6,89;13,23;694.931.637,72;38.168,00;;5.982.736,00
BTLG11;102,89;0,790000;9,19;103,13;0,99;16.008.243,61;9,47;1,23;12,80;5.497.692.138,64;438.517,00;;53.310.352,00
BTSG11;145,92;1,000000;8,05;156,06;0,94;146,00;0,76;3,01;;120.950.379,37;106,00;;775.015,00
CXTL11;339,50;0,616558;3,32;414,62;0,82;5.922,57;2,28;-14,71;7,42;22.222.221,15;585,00;;53.597,00
CYLD11;149,73;;0,00;207,70;0,72;256,43;0,53;;;257.936.948,64;110,00;;1.241.847,00
EURO11;321,08;2,080000;7,25;397,60;0,82;37.028,78;1,84;2,10;21,90;152.651.217,53;1.995,00;;383.936,00
FAGL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
FIIB11;476,40;3,100000;9,27;589,54;0,80;429.898,74;0,98;1,63;10,54;403.833.488,36;14.875,00;;685.000,00
FIIP11;151,49;1,400000;11,16;199,50;0,75;434.439,43;2,13;-0,24;3,57;184.972.951,36;6.000,00;;927.162,00
FINF11;0,00;0,204090;0,00;110,65;;;1,16;-4,68;;90.746.838,44;4,00;;820.112,00
GARE11;8,56;0,083000;11,61;9,32;0,92;16.085.318,65;1,34;0,00;11,74;2.696.608.836,98;446.255,00;;289.186.438,00
GGRC11;10,02;0,100000;12,03;11,21;0,89;9.996.373,57;4,89;1,36;13,57;2.400.934.581,34;290.631,00;;214.249.664,00
GLOG11;69,30;0,410000;7,03;108,83;0,64;45.959,00;1,90;-14,28;-0,25;81.622.819,25;1.714,00;;750.000,00
GRLV11;104,51;0,170000;0,00;63,81;1,64;;3,50;135,25;;118.155.565,38;8.102,00;;1.851.786,00
GTLG11;63,99;0,840000;0,00;63,81;1,00;;3,50;;-12,35;118.155.565,38;8.102,00;;1.851.786,00
HDEL11;101,80;15,300000;28,90;89,68;1,08;11.370,29;26,76;;;75.330.409,11;108,00;;840.000,00
HGLG11;156,96;1,100000;8,43;166,58;0,94;14.193.568,65;1,18;-0,99;7,69;7.063.626.090,23;525.069,00;;42.404.675,00
HLOG11;9,28;0,070000;9,43;11,99;0,78;48.100,17;4,69;4,96;10,90;509.445.289,83;4.150,00;;42.500.000,00
HSLG11;93,72;0,720000;8,92;109,88;0,83;855.067,39;4,77;-2,61;14,84;1.391.042.296,69;40.337,00;;12.660.067,00
IBBP11;8,45;0,073600;10,22;9,44;0,90;39.478,22;0,88;;;512.312.809,57;867,00;;40.720.580,00
INLG11;77,25;0,600000;11,46;106,07;0,73;265.964,96;0,87;4,27;1,30;478.585.896,50;15.723,00;;4.512.103,00
KOPI11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
LVBI11;109,24;0,750000;8,29;120,41;0,91;3.843.436,74;0,83;-2,71;14,78;1.940.757.417,78;126.908,00;;16.118.565,00
MCLO11;10,00;0,095000;10,36;13,70;0,72;615.029,09;4,06;;;1.707.269.495,82;228,00;;124.642.860,00
NEWL11;116,93;1,000000;9,85;130,77;0,90;5.974.509,09;17,76;-1,43;17,32;367.481.120,99;9.720,00;;2.810.193,00
