TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ASRF11;10.974,00;256,328699;0,00;10.704,22;1,03;35.914,82;8,17;;;42.816.887,19;89,00;;4.000,00
ATWN11;0,00;;0,00;2.036,85;;;0,90;;;327.437.470,79;2,00;;160.757,00
BETW11;0,00;0,740286;0,00;110,10;;;0,84;;;275.741.995,64;2,00;;2.504.500,00
BIME11;6,53;0,080000;14,87;8,51;0,77;42.213,43;1,00;-0,34;8,99;49.738.412,61;8.070,00;;5.845.602,00
BINR11;1.673,35;297,587399;28,55;1.095,22;1,53;0,00;14,91;;;130.041.137,30;103,00;;118.735,00
BIPD11;989,33;10,770000;6,98;964,51;1,03;430.358,00;3,12;;;106.519.491,41;112,00;;110.439,00
BLCA11;93,91;0,500000;6,68;129,19;0,74;3.669,64;2,94;-30,11;3,57;206.697.612,95;464,00;;1.600.000,00
BROL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
BRSE11;0,00;;0,00;4.708,50;;;0,21;;;9.417.001,40;12,00;;2.000,00
BSLT11;88,30;;0,00;107,30;0,82;95.286,30;0,00;;;144.853.105,89;2.687,00;;1.350.000,00
BTRA11;68,00;0,800000;7,66;113,35;0,60;315.865,13;16,25;-13,25;3,16;381.378.840,51;11.679,00;;3.364.559,00
CCLB11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CCME11;9,10;0,084000;10,97;10,56;0,87;270.701,91;17,41;-2,49;;715.648.527,43;9.197,00;;67.797.053,00
CCVA11;98,97;0,600000;6,68;101,84;0,97;0,00;2,02;;;63.925.511,70;1,00;;627.724,00
CFII11;768,97;78,000000;31,57;810,79;0,95;298,38;13,09;;;102.418.709,69;101,00;;126.319,00
CIXR11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CPSH11;10,90;0,110000;11,74;11,25;0,96;13.219.360,04;1,09;;;896.577.861,90;30.426,00;;79.699.818,00
CSMC11;0,00;8,195922;0,00;1.078,85;;;1,83;;;2.020.971.477,93;1,00;;1.873.259,00
CVPR11;0,00;0,845013;0,00;93,27;;;10,66;-21,59;;60.231.820,17;3,00;;645.783,00
CXCI11;72,64;0,750000;12,95;86,84;0,83;101.768,74;6,32;-2,31;10,82;178.692.556,72;5.414,00;;2.057.726,00
CYCR11;9,07;0,106000;14,21;9,42;0,96;609.185,52;9,85;1,71;17,58;344.222.322,40;17.578,00;;36.549.445,00
DPRO11;6,06;0,060000;11,40;9,15;0,67;972,91;1,43;-5,63;-6,20;45.757.275,31;742,00;;5.003.220,00
EQIR11;8,59;0,100000;14,08;9,61;0,89;143.996,87;9,86;-2,73;13,02;104.817.507,69;9.794,00;;10.909.315,00
EXES11;9,49;0,130000;16,56;9,84;0,96;148.339,17;12,40;17,72;;138.719.067,59;1.569,00;;14.101.455,00
FAOE11;926,90;11,160900;0,00;0,00;;;;;;0,00;0,00;Ativa;0,00
FARU11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
FRHY11;0,00;1,030000;0,00;8,26;;;69,71;;;1.078.428,51;7,00;;130.500,00
GAME11;9,04;0,100000;13,55;9,65;0,95;120.510,09;1,34;-1,28;14,47;235.062.877,90;21.438,00;;24.370.630,00
GCOI11;72,87;3,011600;8,25;76,60;0,95;27.690,00;49,63;;;8.656.094,83;384,00;;113.000,00
GLPL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
GURB11;108,00;0,700000;0,00;127,49;0,85;;3,54;;;144.584.994,58;1,00;;1.134.132,00
GVBI11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
GZIT11;49,44;0,780000;19,04;91,08;0,54;812.053,52;2,73;;;1.989.217.119,09;7.296,00;;21.841.231,00
HBCR11;138,00;0,540000;13,67;116,82;1,18;32.197,35;0,03;39,55;;186.913.394,77;38,00;;1.600.000,00
HCPR11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
HILG11;184,96;13,142400;24,51;263,14;0,65;0,00;10,01;;;138.480.323,53;104,00;;526.253,00
IDFI11;2,00;0,034026;0,00;1,60;1,25;0,00;101,44;-50,79;-36,44;3.283.391,87;617,00;Ativa;2.057.925,00
IMOV11;0,00;0,236700;0,00;9,50;;;15,95;;;504.121.023,09;13.027,00;;53.092.572,00
IRIM11;64,24;0,690000;15,42;84,14;0,81;5.784.884,78;1,63;-4,06;2,99;2.963.771.750,16;226.197,00;;35.225.947,00
KCRE11;8,82;0,080000;13,38;9,49;0,93;595.530,83;4,44;0,89;11,69;341.571.113,81;16.208,00;;36.000.000,00
KFEN11;1.100,00;8,220000;10,53;947,94;1,16;0,00;11,23;;;169.349.954,18;129,00;;178.651,00
KNHF11;97,94;1,000000;12,05;101,06;0,97;4.399.480,74;5,64;;;1.987.081.877,35;60.087,00;;19.663.235,00
KNPR11;0,00;2,810000;0,00;100,09;;;7,48;;;58.044.496,51;594,00;;579.911,00
KNUQ11;105,56;1,300000;14,98;101,42;1,03;4.932.988,17;5,29;;;2.178.960.704,85;49.101,00;;21.484.730,00
LAVF11;0,00;1,300000;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
LPLP11;310,00;3,557993;15,89;331,16;1,02;2.319,11;0,03;-17,20;;245.877.747,53;32,00;;742.484,00
LRDI11;198,00;6,231026;19,61;83,23;2,38;4.592,76;9,05;;;30.813.670,66;123,00;;370.244,00
MANA11;9,28;0,110000;15,30;9,46;0,98;1.282.421,17;3,02;0,77;11,47;354.929.241,49;35.307,00;;37.536.140,00
MATV11;86,63;0,600000;0,00;63,81;1,36;;3,50;;2,90;118.155.565,38;8.102,00;;1.851.786,00
MFCR11;22,33;2,270000;0,00;0,00;;0,00;;;-37,94;0,00;0,00;Ativa;0,00
