TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
AIEC11;55,72;0,340000;7,35;76,57;0,71;536.668,04;6,95;-24,26;7,47;369.465.454,72;13.550,00;;4.824.987,00
ALMI11;647,00;4,530000;7,11;2.062,46;0,31;12.781,45;4,57;;-8,25;229.298.384,99;1.886,00;;111.177,00
ATCR11;0,00;0,339672;0,00;68,25;;;0,96;;;63.397.094,67;33,00;;928.908,00
BBFI11;5,92;361,119836;6.100,00;64,43;0,09;154.597,00;1.146,59;28,01;-85,63;8.376.339,33;5.522,00;;130.000,00
BGRB11;110,00;0,810000;6,57;120,03;0,92;5.557,80;1,56;;;232.005.448,40;372,00;;1.932.933,00
BLMO11;87,99;0,400000;7,10;98,62;0,89;8.370,13;1,65;-81,15;9,65;98.106.458,61;290,00;;994.814,00
BMII11;0,00;0,228341;0,00;454,06;;;0,27;;;34.190.505,41;24,00;Ativa;75.300,00
BMLC11;102,50;0,700000;8,22;110,23;0,93;16.295,09;5,31;-10,77;14,91;110.049.989,25;1.232,00;;998.405,00
BRCR11;48,32;0,410000;10,41;85,57;0,57;2.903.830,61;1,08;-0,91;8,81;2.279.418.567,50;117.699,00;;26.638.202,00
BREV11;105,00;0,580000;0,00;63,81;1,65;532.138,00;3,50;8,81;2,15;118.155.565,38;8.102,00;;1.851.786,00
BROF11;60,02;0,550000;10,94;110,14;0,54;516.499,91;4,07;;;1.278.765.389,15;10.350,00;;11.610.812,00
BTML11;101,37;0,970000;11,70;127,49;0,80;0,00;3,54;;;144.584.994,58;1,00;;1.134.132,00
CBOP11;40,00;0,160000;4,15;72,18;0,55;21.481,00;2,16;4,85;-0,29;102.135.370,38;2.077,00;;1.415.000,00
CENU11;100,00;;0,00;98,94;1,01;0,00;0,71;;;112.770.119,32;27,00;;1.139.780,00
CEOC11;44,53;0,430000;12,72;72,81;0,61;28.358,83;2,53;-4,31;4,71;132.209.542,81;3.809,00;;1.815.696,00
CJCT11;64,20;0,240000;4,21;73,70;0,87;66.010,60;0,47;12,82;0,12;231.430.573,98;819,00;;3.140.000,00
CNES11;1,70;0,002927;5,12;6,49;0,26;72.106,13;6,13;0,34;-5,87;221.405.992,10;82.018,00;;34.134.825,00
COPP11;103,00;0,750000;0,00;107,23;0,96;;0,61;;;511.745.359,37;114,00;;4.772.405,00
CTXT11;5,57;0,010000;0,00;17,80;0,27;1.142,65;3,01;-23,80;-25,53;95.851.888,87;2.181,00;;5.384.912,00
CXCE11;41,89;0,479705;14,23;62,99;0,66;27.373,65;7,48;3,53;1,67;107.905.417,91;2.915,00;;1.712.950,00
CXCO11;70,89;0,750000;12,24;95,47;0,74;148.239,78;1,73;-2,56;13,97;374.665.086,21;12.261,00;;3.924.500,00
DAYM11;4,12;0,035000;4,89;9,94;0,42;10.991,87;5,51;;-16,00;169.980.327,08;856,00;;17.100.937,00
DOMC11;439,00;;0,00;110,49;3,97;;0,66;;;560.577.455,58;1.095,00;;5.073.615,00
DOVL11B;784,35;10,421659;10,49;575,96;1,36;0,00;5,85;-5,16;;38.247.354,91;101,00;;66.406,00
DRIT11;8,68;0,520000;17,05;133,56;0,07;1.246,00;23,67;8,28;-55,80;61.876.341,24;338,00;Ativa;463.277,00
DVLP11;150,29;;0,00;150,26;1,00;11.412,50;1,55;;;99.678.779,09;159,00;;663.375,00
EDFO11;132,01;0,897950;9,16;210,83;0,61;5.553,33;1,47;-17,22;-13,69;49.755.902,04;464,00;;236.000,00
EDGA11;13,69;0,062479;3,88;45,04;0,30;10.169,78;0,74;-13,07;-8,43;171.694.610,08;3.750,00;;3.812.055,00
ERPA11;126,98;0,930000;8,75;165,58;0,77;18.291,58;1,00;9,02;9,02;82.941.209,51;741,00;;500.922,00
FAMB11;1.077,99;45,426656;0,00;1.829,61;0,56;46.288,59;2,31;45,38;12,92;224.197.286,29;2.034,00;;122.538,00
FATN11;87,20;0,800000;10,97;96,17;0,91;1.711.947,00;1,78;-1,35;7,04;515.784.317,28;24.463,00;;5.363.161,00
FCAS11;0,00;0,121915;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
FISC11;67,00;0,560000;8,41;111,07;0,59;1.410,07;0,87;5,22;;188.816.790,90;226,00;;1.699.996,00
FLMA11;161,50;1,030000;8,18;250,22;0,63;63.591,30;1,03;5,26;17,37;345.467.420,77;11.230,00;;1.380.670,00
FMOF11;38,97;1,550000;37,21;46,35;0,84;4.910,48;19,02;54,33;15,86;23.548.189,15;406,00;;508.008,00
FPAB11;220,00;1,800000;9,15;360,78;0,61;5.580,18;6,02;3,58;25,47;270.588.315,42;680,00;;750.000,00
