TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ALZR11;10,82;0,085100;9,31;10,64;1,01;2.466.840,65;3,08;0,66;8,56;1.300.994.832,06;178.582,00;;122.266.250,00
ARTE11;0,00;0,095752;0,00;10,39;;;13,59;;;88.242.519,50;738,00;;8.496.949,00
BLOG11;8,40;0,020000;4,05;11,26;0,75;192,94;0,11;;;346.922.775,80;105,00;;30.796.704,00
BPLC11;0,00;14,420464;0,00;9.929,09;;;0,37;;;322.983.368,68;124,00;;32.529,00
BTSI11;109,59;0,810000;8,69;123,64;0,89;219,00;0,07;3,01;;788.070.084,79;219,00;;6.373.961,00
BZEL11;0,00;5,092421;0,00;148,65;;;0,07;;;525.933.239,90;3,00;;3.538.046,00
BZLI11;19,78;;0,00;16,81;1,18;;0,00;;6,21;736.080.613,00;18,00;;43.785.754,00
CARE11;5,63;0,008385;0,00;6,93;0,76;7.210,65;1,70;;29,78;249.412.875,35;11.759,00;;36.006.138,00
CIXM11;9,04;0,150000;0,00;38,56;0,23;;1,55;;;236.270.251,15;108,00;;6.127.180,00
CJFI11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
CPLG11;12,33;0,130000;10,35;10,83;1,13;13.819.956,52;2,83;;;471.402.008,32;1.850,00;;43.542.510,00
CPOF11;110,00;0,470000;5,96;107,23;1,03;29.824.105,47;0,61;;;511.745.359,37;114,00;;4.772.405,00
CPUR11;10,52;0,100000;10,69;9,80;1,09;722.137,48;0,22;7,85;15,88;664.693.959,53;1.550,00;;67.825.745,00
CTEM11;6,00;;0,00;;;20,67;;;;;;;0,00
DAMA11;7,66;0,075323;12,74;8,42;0,91;4.269,00;2,22;;;46.614.168,47;850,00;;5.537.031,00
EMET11;9,51;0,340000;9,71;9,81;0,99;4.947,61;0,49;;;49.063.293,20;167,00;;5.000.000,00
ESTQ11;0,00;;0,00;0,01;;;100,06;;;946.040,07;5,00;;65.361.974,00
FTCE11B;34.508,82;32,568789;0,16;2.872,01;12,02;16.782.232.734,75;3,02;;;3.805.210.105,72;124,00;;1.324.930,00
