TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
AFHI11;96,95;1,010000;12,53;94,56;1,02;798.858,22;8,33;-1,55;14,08;452.869.788,71;37.615,00;;4.789.243,00
ALZC11;8,08;0,107000;15,76;9,40;0,84;352.122,83;1,59;;;185.921.831,30;9.946,00;;19.772.485,00
ARRI11;6,63;0,090000;16,29;8,36;0,79;298.060,96;2,07;-3,45;1,88;173.229.387,52;23.703,00;;20.726.973,00
ARXD11;7,87;0,090000;14,13;9,12;0,87;68.361,13;11,69;;;80.485.317,22;1.973,00;;8.828.286,00
AZPE11;0,00;0,110000;0,00;10,04;;;9,71;;;125.497.931,47;1,00;;12.500.000,00
BARI11;79,20;0,760800;8,28;78,48;1,01;0,00;6,74;-0,15;8,95;363.696.267,15;31.765,00;;4.634.191,00
BBIM11;0,00;0,340000;0,00;0,00;;;;-24,05;;0,00;0,00;Ativa;0,00
BCRI11;66,96;0,750000;15,19;85,07;0,78;647.231,87;4,96;1,88;1,28;532.350.894,57;42.020,00;;6.257.873,00
BICR11;35,92;0,363000;0,00;41,61;0,86;72,00;3,33;-18,17;-27,43;20.805.910,51;641,00;Ativa;500.000,00
BLMC11;85,75;1,070000;0,00;63,81;1,34;;3,50;-0,67;2,47;118.155.565,38;8.102,00;;1.851.786,00
BLUR11;76,03;1,010650;4,09;76,13;1,00;228,00;100,42;-14,85;1,28;6.851.720,42;1,00;Ativa;90.000,00
BTCI11;9,25;0,093000;12,54;10,05;0,92;2.536.982,22;1,13;-1,29;15,86;999.918.174,08;198.581,00;;99.521.172,00
BTCR11;88,00;0,900000;0,00;63,81;1,38;571.148,00;3,50;32,78;;118.155.565,38;8.102,00;;1.851.786,00
BTHF11;9,42;0,101000;12,16;10,25;0,90;5.295.216,43;10,55;;;2.109.142.405,64;312.539,00;;205.846.940,00
CACR11;78,41;1,200000;20,17;94,87;1,07;2.234.819,39;3,00;-2,63;7,96;458.809.658,24;27.015,00;;4.836.324,00
