TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
APTO11;8,44;0,080000;12,81;9,78;0,86;41.886,30;10,01;-3,41;11,74;45.116.014,44;7.938,00;;4.612.227,00
APXR11;100,00;;0,00;78,10;1,28;366,67;0,02;;;8.557.693,22;163,00;;109.567,00
APXU11;95,00;;0,00;79,71;1,19;204,62;22,03;;;8.094.160,33;46,00;;101.542,00
BIPE11;1.000,00;;0,00;978,67;1,02;3.250,00;4,31;;;53.986.448,67;103,00;;55.163,00
HGRS11;0,00;8,300000;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
HOSI11;83,60;0,253600;7,28;121,16;0,69;8.361,14;1,66;-3,06;22,03;69.477.364,30;1.085,00;;573.450,00
HPDR11;0,00;;0,00;;;;;;;;;;0,00
HRES11;141,53;0,815900;25,42;126,31;0,97;2.140.733,00;14,85;;;59.141.811,43;137,00;;468.241,00
ICNE11;769,63;9,428158;18,55;663,53;1,16;9.994.415,00;0,28;;;79.623.368,87;6,00;;120.000,00
JFLL11;65,09;0,200000;9,79;93,77;0,69;68.359,13;2,61;-5,10;16,23;140.709.122,42;2.348,00;;1.500.598,00
LTMT11;98,36;8,379118;0,00;93,53;1,05;27.934,00;5,36;;;14.638.146,65;224,00;;156.501,00
OBAL11;1.095,00;93,515043;22,64;1.367,93;0,80;1.095,00;25,37;;;193.259.913,47;108,00;;141.279,00
PMRL11;101,55;0,573000;0,56;85,80;1,17;49.418,06;1,93;;;33.819.033,29;1.459,00;;394.163,00
PNCR11;45,20;1,560000;15,18;46,07;0,98;350.700,00;101,19;;;23.037.047,12;112,00;;500.000,00
RBFY11;71,10;0,070000;0,76;95,01;0,75;415,75;2,53;;;92.149.708,71;82,00;;969.847,00
RJDA11;100,00;;0,00;;;100,00;;;;;;;0,00
VCRR11;65,01;0,400000;9,02;105,16;0,62;283.694,83;3,97;-11,14;8,03;210.326.815,24;3.087,00;;2.000.000,00
