TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ABCP11;81,73;0,650000;9,58;110,83;0,72;64.942,83;1,48;4,16;21,98;521.918.936,68;14.013,00;;4.709.082,00
AJFI11;8,22;0,050000;8,19;11,14;0,74;409.789,74;0,70;;;352.392.703,05;11.189,00;;31.625.978,00
ANCR11B;3.221,00;1,440191;0,04;114,28;28,19;;2,05;;;3.055.246.255,97;235,00;;26.735.046,00
APXM11;80,00;0,491972;5,06;127,19;0,66;559.330,55;0,81;;;359.844.384,70;664,00;;2.829.142,00
ATSA11;57,89;0,150000;4,38;73,80;0,79;640,11;3,15;0,56;-6,52;129.236.210,78;293,00;;1.751.141,00
BPML11;91,58;0,920000;16,36;123,85;0,73;1.095.395,91;18,22;25,23;27,57;921.674.784,44;5.192,00;;7.441.745,00
DAMT11B;11,45;0,582451;8,59;14,32;0,80;23,00;5,14;;-7,14;254.655.378,68;541,00;;17.779.747,00
ELDO11;762,38;0,350000;16,07;1.808,00;0,42;;0,18;11,83;;1.423.360.282,86;113,00;;787.256,00
FGPM11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
FIGS11;49,97;0,480000;11,60;70,15;0,69;324.491,22;0,59;1,15;12,24;199.936.533,70;11.631,00;;2.850.000,00
FIVN11;2,66;;0,00;5,86;0,44;4.802,43;0,03;;-9,73;55.155.502,21;4.382,00;;9.412.630,00
FLRP11;21,15;0,150000;8,91;21,13;1,00;14.294,00;1,08;4,05;18,92;159.802.584,35;1.931,00;;7.562.817,00
FVPQ11;66,41;0,400000;7,85;93,78;0,73;132.744,61;1,49;-20,73;-3,79;262.606.163,61;3.639,00;;2.800.149,00
GSFI11;10,97;;0,00;13,57;0,81;15.488.450,74;1,47;;28,97;1.304.609.949,64;6.273,00;;96.106.666,00
HGBS11;20,07;0,160000;9,30;20,67;0,96;4.249.209,52;1,40;-3,11;13,27;2.668.558.839,35;149.239,00;;129.133.010,00
HMOC11;226,95;23,800000;0,00;63,81;3,56;;3,50;122,18;;118.155.565,38;8.102,00;;1.851.786,00
HPDP11;88,75;0,560000;7,64;96,71;0,91;905.763,14;12,35;0,81;15,88;317.997.477,13;386,00;;3.288.000,00
HSML11;92,73;0,700000;8,72;104,83;0,88;4.139.583,96;6,04;-3,32;16,21;2.236.031.475,09;184.837,00;;21.329.976,00
ITRI11;84,74;0,850000;11,87;96,98;0,90;1.284.247,13;3,34;;;606.108.095,46;14.094,00;;6.250.000,00
JRDM11;85,00;0,400000;0,00;63,81;1,33;0,00;3,50;28,90;2,34;118.155.565,38;8.102,00;;1.851.786,00
LASC11;112,85;0,750000;9,80;131,98;0,85;9.023.958,61;0,92;15,82;16,57;388.061.882,51;471,00;;2.940.298,00
MCEM11;65,12;0,670000;8,41;34,97;1,86;62.625,86;0,03;;;115.133.567,50;217,00;;3.292.733,00
PDBM11;115,00;1,595182;10,31;113,44;1,01;115,00;1,06;;;38.568.046,46;121,00;;340.000,00
PMLL11;106,79;1,000000;9,82;117,32;0,90;5.040.094,96;2,82;2,10;9,55;1.640.312.267,29;126.272,00;;13.982.093,00
PQDP11;2.325,16;14,904979;10,00;42,63;53,95;516.019,83;2,81;2,87;57,12;635.110.455,63;3.166,00;;14.897.254,00
PRTS11;17.396,42;0,054870;0,00;63,81;272,63;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RBGS11;28,45;0,176600;0,00;63,81;0,45;;3,50;4,91;;118.155.565,38;8.102,00;;1.851.786,00
SCPF11;3,14;0,018000;0,60;9,87;0,31;4.447,43;0,91;0,89;-15,62;41.456.151,33;4.285,00;;4.200.000,00
SHDP11B;0,00;103,930000;0,00;1.125,71;;;5,39;28,19;;1.339.279.671,26;2,00;;1.189.725,00
SHOP11;55,00;;0,00;31,50;1,75;55,00;0,71;;;77.442.255,55;92,00;;2.458.396,00
SHPH11;960,00;5,300000;8,70;1.034,28;0,91;43.673,17;1,16;15,46;18,39;629.823.046,51;2.074,00;;608.950,00
SHPP11;9,95;0,071000;5,68;10,15;0,99;1.144,87;13,89;;;443.498.632,54;130,00;;43.700.000,00
SPAF11;0,00;4,266322;0,00;980,12;;;3,01;17,23;;11.045.943,45;1,00;;11.270,00
SPVJ11;0,00;0,118400;0,00;24,38;;;25,62;-40,45;;153.858.012,48;24,00;;6.312.090,00
VISC11;108,46;0,840000;8,99;117,99;0,92;6.653.446,00;2,47;-3,48;11,13;3.401.483.209,09;336.893,00;;28.828.640,00
VPSI11;22,38;0,360900;13,34;33,60;0,67;22,00;0,92;7,57;;271.231.635,80;125,00;;8.071.897,00
VSHO11;75,90;0,680000;10,75;114,38;0,67;22.314,48;1,11;-1,50;17,83;240.062.735,01;2.943,00;;2.098.800,00
WPLZ11;51,27;0,370000;10,47;54,50;0,90;3.266,65;1,45;-0,13;-1,66;64.675.247,66;1.523,00;;1.186.683,00
XPML11;110,92;0,920000;10,01;108,16;1,02;19.307.065,04;1,61;3,32;14,65;6.333.860.101,76;633.076,00;;58.559.855,00
