TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AESB3;8,12;;-21,02;1,83;0,42;27,29;23,39;-9,44;8,48;18,40;9,93;2,15;1,98;-11,75;-0,49;0,79;-8,72;-2,02;4,23;0,23;0,71;0,21;;;13.684.494,00;4,43;-0,39;2,77;8.367.914.180,36
AFLT3;7,60;5,05;14,59;1,84;1,31;81,47;71,10;51,35;10,54;10,12;-0,41;-0,07;7,49;6,45;-2,01;2,39;12,62;8,97;11,60;0,71;0,29;0,17;6,47;11,92;1.356,56;4,13;0,52;2,01;479.443.720,00
ALUP11;31,50;2,67;9,31;1,12;0,30;66,96;67,25;25,17;3,49;6,62;3,13;1,00;2,34;1,80;-0,40;3,30;12,00;3,25;9,07;0,27;0,63;0,13;-6,46;3,42;27.643.039,86;28,17;3,38;-6,98;10.383.246.310,50
ALUP3;11,26;2,49;9,99;1,20;0,32;66,96;67,25;25,17;3,74;6,62;3,13;1,00;2,51;1,93;-0,43;3,30;12,00;3,25;9,07;0,27;0,63;0,13;-6,46;3,42;49.463,81;9,39;1,13;-7,49;10.383.246.310,50
ALUP4;10,06;2,78;8,92;1,07;0,29;66,96;67,25;25,17;3,34;6,62;3,13;1,00;2,25;1,72;-0,38;3,30;12,00;3,25;9,07;0,27;0,63;0,13;-6,46;3,42;122.272,24;9,39;1,13;-6,69;10.383.246.310,50
AURE3;11,16;;-9,06;0,98;0,25;13,55;9,24;-9,73;9,53;26,03;16,50;1,70;0,88;15,88;-0,29;1,11;-10,86;-2,73;3,22;0,25;0,72;0,28;41,69;;27.602.083,33;11,34;-1,23;0,00;11.722.218.189,84
AXIA3;52,30;6,97;16,13;1,27;0,55;47,02;15,92;21,89;22,19;29,40;6,61;0,38;3,53;5,30;-0,69;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;419.436.914,45;41,16;3,24;-10,04;158.128.676.915,40
AXIA5;55,50;6,02;17,12;1,35;0,58;47,02;15,92;21,89;23,55;29,40;6,61;0,38;3,75;5,63;-0,73;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;2.563,64;41,16;3,24;-10,65;158.128.676.915,40
AXIA6;59,20;6,78;18,26;1,44;0,62;47,02;15,92;21,89;25,12;29,40;6,61;0,38;4,00;6,00;-0,78;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;71.259.268,25;41,16;3,24;-11,36;158.128.676.915,40
AXIA7;50,92;;15,71;1,24;0,54;47,02;15,92;21,89;21,61;29,40;6,61;0,38;3,44;5,16;-0,67;2,11;7,88;3,41;-10,23;0,43;0,57;0,16;7,26;8,52;75.758.257,29;41,16;3,24;-9,77;158.128.676.915,40
